"State","< 5","5 -- 9","10 -- 15","16 -- 20","21 -- 24","25 -- 34","35 -- 44","45 -- 54","55 -- 64","65 -- 74","> 75","Unknown","Total"
"","","","","","","","","","","","","",""
"Alabama","10","10","9","85","91","180","143","130","135","79","59","3","934"
"Alaska","0","3","2","6","5","11","14","3","9","8","3","0","64"
"Arizona","11","12","24","84","79","190","166","106","192","99","81","10","1054"
"Arkansas","8","5","17","52","40","118","108","89","100","59","41","1","638"
"California","23","23","73","292","351","876","597","500","570","317","219","6","3847"
"Colorado","2","6","18","50","68","122","96","92","77","57","34","0","622"
"Connecticut","0","1","3","26","27","72","36","37","43","23","25","2","295"
"Delaware","0","0","0","13","11","25","12","15","10","16","14","0","116"
"District of Columbia","0","0","0","3","2","9","13","5","1","1","2","0","36"
"Florida","23","21","61","243","270","615","493","438","505","309","316","37","3331"
"Georgia","21","12","29","136","113","334","250","221","249","143","130","26","1664"
"Hawaii","0","0","1","5","13","17","7","11","15","8","8","0","85"
"Idaho","2","0","5","28","25","26","39","29","27","19","14","0","214"
"Illinois","11","10","22","106","103","241","158","159","152","113","103","16","1194"
"Indiana","8","9","17","85","70","161","114","134","132","82","66","19","897"
"Iowa","3","6","10","26","40","51","35","57","46","32","30","1","337"
"Kansas","4","4","13","27","32","70","54","58","68","44","51","1","426"
"Kentucky","3","4","11","60","80","155","125","100","103","72","66","1","780"
"Louisiana","5","10","19","57","57","180","121","141","112","70","55","1","828"
"Maine","0","1","6","12","9","29","18","29","25","20","15","0","164"
"Maryland","3","4","2","45","56","112","88","91","80","44","42","0","567"
"Massachusetts","0","1","1","33","28","74","45","35","43","46","36","1","343"
"Michigan","11","10","10","76","99","214","139","146","151","110","118","0","1084"
"Minnesota","4","0","11","38","22","68","50","64","66","35","35","1","394"
"Mississippi","10","7","15","70","61","146","128","107","99","70","31","8","752"
"Missouri","7","7","18","81","80","202","167","129","115","93","86","2","987"
"Montana","0","5","6","21","16","40","32","34","26","18","14","1","213"
"Nebraska","2","0","5","23","21","44","33","21","38","28","18","0","233"
"Nevada","1","1","8","24","21","68","49","36","50","33","22","4","317"
"New Hampshire","1","0","0","5","6","22","10","14","19","12","15","0","104"
"New Jersey","5","3","7","44","50","108","77","66","105","52","66","1","584"
"New Mexico","2","1","7","31","33","71","67","59","70","26","31","0","398"
"New York","4","10","18","76","106","217","145","110","141","107","107","5","1046"
"North Carolina","6","16","18","144","156","302","238","196","224","118","116","4","1538"
"North Dakota","2","0","3","8","7","23","12","13","13","9","10","0","100"
"Ohio","11","10","21","82","94","244","197","171","180","119","100","1","1230"
"Oklahoma","11","9","13","58","49","110","110","89","106","59","38","0","652"
"Oregon","6","3","9","44","28","87","74","74","78","59","46","0","508"
"Pennsylvania","11","7","14","80","91","204","164","154","182","93","129","0","1129"
"Rhode Island","0","0","0","7","8","11","5","10","7","8","11","0","67"
"South Carolina","9","6","11","79","85","239","161","168","140","91","75","0","1064"
"South Dakota","1","0","2","9","12","16","27","16","30","19","9","0","141"
"Tennessee","12","6","10","108","103","232","201","186","167","98","94","0","1217"
"Texas","47","51","73","341","354","841","610","524","486","335","199","13","3874"
"Utah","2","1","10","25","25","47","41","29","34","33","29","0","276"
"Vermont","0","1","0","5","5","8","8","8","12","12","3","0","62"
"Virginia","4","6","9","62","71","178","112","110","134","88","73","3","850"
"Washington","3","1","16","44","41","104","98","67","91","44","47","4","560"
"West Virginia","2","1","3","16","26","46","49","37","32","29","26","0","267"
"Wisconsin","2","3","11","38","66","126","80","89","92","62","45","0","614"
"Wyoming","0","0","2","8","7","27","20","15","23","12","13","0","127"
"USA","313","307","673","3121","3313","7713","5836","5222","5605","3533","3016","172","38824"
