"State","Rural","Urban","Freeway and Expressway","Other","Minor Arterial","Collector Arterial","Local","Unknown","Total Fatalities"
"","","","","","","","","",""
"Alabama","44","76","5","263","227","243","75","1","934"
"Alaska","16","8","0","12","8","11","9","0","64"
"Arizona","80","48","42","328","254","169","22","111","1054"
"Arkansas","54","33","9","36","42","13","134","317","638"
"California","140","399","401","1194","872","574","267","0","3847"
"Colorado","27","60","29","259","119","81","46","1","622"
"Connecticut","5","43","34","59","98","33","22","1","295"
"Delaware","1","12","8","40","14","34","7","0","116"
"District of Columbia","0","3","2","12","12","3","4","0","36"
"Florida","112","231","110","1245","594","376","339","324","3331"
"Georgia","53","162","55","421","433","306","232","2","1664"
"Hawaii","0","9","1","44","31","0","0","0","85"
"Idaho","21","5","8","71","45","42","22","0","214"
"Illinois","50","126","2","326","272","227","162","29","1194"
"Indiana","57","44","9","270","191","195","131","0","897"
"Iowa","23","14","0","108","56","85","51","0","337"
"Kansas","24","23","24","89","100","97","69","0","426"
"Kentucky","54","43","11","185","186","194","104","3","780"
"Louisiana","41","72","12","202","171","155","172","3","828"
"Maine","8","4","0","25","32","66","28","1","164"
"Maryland","4","54","30","206","136","94","41","2","567"
"Massachusetts","3","57","14","107","97","36","29","0","343"
"Michigan","27","81","44","291","261","198","179","3","1084"
"Minnesota","14","21","11","82","115","106","43","2","394"
"Mississippi","57","36","6","216","162","239","36","0","752"
"Missouri","36","97","71","233","218","202","130","0","987"
"Montana","36","3","0","65","27","44","37","1","213"
"Nebraska","23","9","12","64","61","32","32","0","233"
"Nevada","21","28","3","126","50","3","86","0","317"
"New Hampshire","0","1","3","27","31","28","12","2","104"
"New Jersey","6","57","78","206","126","66","41","4","584"
"New Mexico","56","37","0","136","66","56","44","3","398"
"New York","14","79","82","320","153","113","285","0","1046"
"North Carolina","39","115","54","294","293","415","321","7","1538"
"North Dakota","10","1","0","29","17","25","18","0","100"
"Ohio","31","123","46","236","265","325","173","31","1230"
"Oklahoma","48","62","3","170","107","162","100","0","652"
"Oregon","13","25","0","211","100","112","47","0","508"
"Pennsylvania","56","60","48","315","233","188","224","5","1129"
"Rhode Island","4","10","5","22","14","7","5","0","67"
"South Carolina","83","34","10","396","422","51","68","0","1064"
"South Dakota","15","5","4","42","38","19","18","0","141"
"Tennessee","75","125","15","358","291","227","125","1","1217"
"Texas","169","370","199","1177","820","811","319","9","3874"
"Utah","28","19","3","105","42","51","28","0","276"
"Vermont","4","1","0","15","16","14","12","0","62"
"Virginia","65","73","14","239","196","179","83","1","850"
"Washington","17","42","50","95","61","118","170","7","560"
"West Virginia","10","17","0","61","53","82","37","7","267"
"Wisconsin","24","16","11","178","133","141","107","4","614"
"Wyoming","23","5","0","45","9","37","7","1","127"
"USA","1821","3078","1578","11256","8370","7085","4753","883","38824"
